            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463072.500000000, A.D. 2031-Jul-25 00:00:00.0000,  5.302218458797453E-01, -8.665031376798895E-01,  6.011515771070675E-05,  1.439472652793145E-02,  8.921069047455762E-03, -1.104755284054138E-06,  5.867093484226777E-03,  1.015855746191874E+00, -9.621042877823068E-05,
2463073.500000000, A.D. 2031-Jul-26 00:00:00.0000,  5.445402610767274E-01, -8.574602735526616E-01,  5.894888943817288E-05,  1.424142509688534E-02,  9.164186142419590E-03, -1.224537862467131E-06,  5.866522994907621E-03,  1.015756969028265E+00, -1.013001057601341E-04,
2463074.500000000, A.D. 2031-Jul-27 00:00:00.0000,  5.587033580380294E-01, -8.481757241601652E-01,  5.767360553875860E-05,  1.408410990640111E-02,  9.404427457187326E-03, -1.321753618489713E-06,  5.865923908111190E-03,  1.015653240364957E+00, -1.061067311912465E-04,
2463075.500000000, A.D. 2031-Jul-28 00:00:00.0000,  5.727071842283407E-01, -8.386523987992285E-01,  5.631493385891884E-05,  1.392290502096745E-02,  9.641728995857054E-03, -1.390332502648346E-06,  5.865297970617577E-03,  1.015544862647548E+00, -1.105923554321219E-04,
2463076.500000000, A.D. 2031-Jul-29 00:00:00.0000,  5.865479155804281E-01, -8.288932606256438E-01,  5.490433049632683E-05,  1.375794275189279E-02,  9.876048096455592E-03, -1.424783981110654E-06,  5.864647129018442E-03,  1.015432172917937E+00, -1.147266615171631E-04,
2463077.500000000, A.D. 2031-Jul-30 00:00:00.0000,  6.002218623976717E-01, -8.189013020545221E-01,  5.347816034649414E-05,  1.358935825248605E-02,  1.010736997498120E-02, -1.420929140976399E-06,  5.863973467105663E-03,  1.015315531973502E+00, -1.184937942566184E-04,
2463078.500000000, A.D. 2031-Jul-31 00:00:00.0000,  6.137254674960313E-01, -8.086795140311908E-01,  5.207589737272735E-05,  1.341727924614797E-02,  1.033571293222938E-02, -1.376914009133821E-06,  5.863279097670933E-03,  1.015195305632785E+00, -1.219010808576182E-04,
2463079.500000000, A.D. 2031-Aug-01 00:00:00.0000,  6.270552915983086E-01, -7.982308522669610E-01,  5.073724597437483E-05,  1.324181105161265E-02,  1.056112852011967E-02, -1.294299821420325E-06,  5.862566003843759E-03,  1.015071837264017E+00, -1.249872080664991E-04,
2463080.500000000, A.D. 2031-Aug-02 00:00:00.0000,  6.402079826125368E-01, -7.875582074873181E-01,  4.949830734702697E-05,  1.306302017337727E-02,  1.078369284318424E-02, -1.178795095239578E-06,  5.861835844624727E-03,  1.014945414114244E+00, -1.278256645051763E-04,
2463081.500000000, A.D. 2031-Aug-03 00:00:00.0000,  6.531802303837621E-01, -7.766643894360896E-01,  4.838741351300645E-05,  1.288092288406137E-02,  1.100348798333842E-02, -1.040111865330494E-06,  5.861089764594719E-03,  1.014816234361503E+00, -1.305193444129902E-04,
