            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463056.500000000, A.D. 2031-Jul-09 00:00:00.0000, -3.207032711202640E-01, -1.447887728393284E+00, -2.248194707873842E-02,  1.419021736803428E-02, -1.823936305597750E-03, -3.860552329025595E-04,  8.565961916669322E-03,  1.483150329563242E+00, -1.281943456692299E-03,
2463057.500000000, A.D. 2031-Jul-10 00:00:00.0000, -3.064987112343399E-01, -1.449645921610671E+00, -2.286697587863782E-02,  1.421869970986391E-02, -1.692366708389459E-03, -3.839956644777856E-04,  8.558565322578588E-03,  1.481869648996360E+00, -1.279397159866157E-03,
2463058.500000000, A.D. 2031-Jul-11 00:00:00.0000, -2.922662787112399E-01, -1.451272296701739E+00, -2.324992495340280E-02,  1.424596111977269E-02, -1.560301810049272E-03, -3.818957811027553E-04,  8.551183790380543E-03,  1.480591576315357E+00, -1.276727649752346E-03,
2463059.500000000, A.D. 2031-Jul-12 00:00:00.0000, -2.780071990230303E-01, -1.452766363751993E+00, -2.363075399595701E-02,  1.427199250942182E-02, -1.427752415878774E-03, -3.797555899970008E-04,  8.543818032761791E-03,  1.479316234918091E+00, -1.273934552368538E-03,
2463060.500000000, A.D. 2031-Jul-13 00:00:00.0000, -2.637227067009809E-01, -1.454127643726408E+00, -2.400942270526686E-02,  1.429678486616199E-02, -1.294729498017160E-03, -3.775751049084903E-04,  8.536468764474817E-03,  1.478043748560119E+00, -1.271017511724178E-03,
2463061.500000000, A.D. 2031-Jul-14 00:00:00.0000, -2.494140452600534E-01, -1.455355668640995E+00, -2.438589079216308E-02,  1.432032924968765E-02, -1.161244190489253E-03, -3.753543427992661E-04,  8.529136702258718E-03,  1.476774241340967E+00, -1.267976194251141E-03,
2463062.500000000, A.D. 2031-Jul-15 00:00:00.0000, -2.350824671209300E-01, -1.456449981735778E+00, -2.476011798493608E-02,  1.434261679485146E-02, -1.027307790971204E-03, -3.730933236436663E-04,  8.521822564765037E-03,  1.475507837691295E+00, -1.264810287903315E-03,
2463063.500000000, A.D. 2031-Jul-16 00:00:00.0000, -2.207292335298739E-01, -1.457410137647950E+00, -2.513206403449919E-02,  1.436363871487133E-02, -8.929317703770922E-04, -3.707920708217624E-04,  8.514527072482120E-03,  1.474244662359792E+00, -1.261519493524071E-03,
2463064.500000000, A.D. 2031-Jul-17 00:00:00.0000, -2.063556144752135E-01, -1.458235702584454E+00, -2.550168871961199E-02,  1.438338630386868E-02, -7.581277841630758E-04, -3.684506114419241E-04,  8.507250947652640E-03,  1.472984840398900E+00, -1.258103514275106E-03,
2463065.500000000, A.D. 2031-Jul-18 00:00:00.0000, -1.919628885992003E-01, -1.458926254494780E+00, -2.586895185275368E-02,  1.440185094464578E-02, -6.229076736074294E-04, -3.660689787203372E-04,  8.499994914188201E-03,  1.471728497150027E+00, -1.254562055533576E-03,
2463066.500000000, A.D. 2031-Jul-19 00:00:00.0000, -1.775523431055964E-01, -1.459481383244819E+00, -2.623381328651484E-02,  1.441902411994351E-02, -4.872834544248679E-04, -3.636472152382217E-04,  8.492759697587065E-03,  1.470475758229305E+00, -1.250894837439547E-03,
2463067.500000000, A.D. 2031-Jul-20 00:00:00.0000, -1.631252736644406E-01, -1.459900690791181E+00, -2.659623291981411E-02,  1.443489741853954E-02, -3.512673068996142E-04, -3.611853736557365E-04,  8.485546024853175E-03,  1.469226749513564E+00, -1.247101604979587E-03,
2463068.500000000, A.D. 2031-Jul-21 00:00:00.0000, -1.486829843143925E-01, -1.460183791354665E+00, -2.695617070367272E-02,  1.444946253377068E-02, -2.148715771061926E-04, -3.586835144044809E-04,  8.478354624409283E-03,  1.467981597125292E+00, -1.243182126177642E-03,
